obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl
4655;34;Zhang Hui_2011_Gaseous_Chinese;Database of Luncheng;;106,27;38,12;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;1,4;8,5;28,2;;;12;;;NUEagr;%;32;;;;;;;;3;;;;;;300
4656;34;Zhang Hui_2011_Gaseous_Chinese;Database of Luncheng;;106,27;38,12;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;1,4;8,5;28,2;;;12;;;NUEagr;%;45,6;;;;;;;;3;;;;;;240
4657;34;He Xin_2017_Effects_Chinese;Database of Luncheng;;113,81;28,32;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,5;6,6;28,5;;;10,6;;;NUEagr;%;32,7;;;;;;;;3;;;;;;150
4658;34;Zhang Lu_2010_Study_Chinese;Database of Luncheng;;116,54;28,54;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,1;5,6;36,3;;;11,3;;;NUEagr;%;42,6;;;;;;;;3;;;;;;165
4659;34;Zhang Lu_2010_Study_Chinese;Database of Luncheng;;116,54;28,54;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,1;5,6;36,3;;;11,3;;;NUEagr;%;47,6;;;;;;;;3;;;;;;132
4660;34;Zhang Lu_2010_Study_Chinese;Database of Luncheng;;116,54;28,54;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,1;5,6;36,3;;;11,3;;;NUEagr;%;42;;;;;;;;3;;;;;;187,5
4661;34;Zhang Lu_2010_Study_Chinese;Database of Luncheng;;116,54;28,54;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,1;5,6;36,3;;;11,3;;;NUEagr;%;36,4;;;;;;;;3;;;;;;150
4662;34;Zhang Lu_2010_Study_Chinese;Database of Luncheng;;116,54;28,54;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,1;5,6;36,3;;;11,3;;;NUEagr;%;37,3;;;;;;;;3;;;;;;165
4663;34;Zhang Lu_2010_Study_Chinese;Database of Luncheng;;116,54;28,54;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,1;5,6;36,3;;;11,3;;;NUEagr;%;42,8;;;;;;;;3;;;;;;132
4664;34;Zhang Lu_2010_Study_Chinese;Database of Luncheng;;116,54;28,54;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,1;5,6;36,3;;;11,3;;;NUEagr;%;28,4;;;;;;;;3;;;;;;187,5
